user1 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
add_grade ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR78-002 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
teach21 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-005 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-006 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-007 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-008 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-009 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-010 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-011 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-012 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-013 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-014 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-015 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-016 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-017 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-018 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-019 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-020 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-021 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-022 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-023 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-024 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-025 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-026 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-027 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-028 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-029 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-030 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-031 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
KR911-032 ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ; = 0
